Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/courses,694309,0,18,20.25914500394028,4.1617919923737645,615.9094159957021,538.0,1059.1276466446902,0.0,18,20,22,24,29,36,48,62,140,360,620
,Aggregated,694309,0,18,20.25914500394028,4.1617919923737645,615.9094159957021,538.0,1059.1276466446902,0.0,18,20,22,24,29,36,48,62,140,360,620
